"SYMBOL","sig","ensembl_gene_id"
"ADAT2",TRUE,"ENSG00000189007"
"ALDH6A1",FALSE,"ENSG00000119711"
"ATP7A",FALSE,"ENSG00000165240"
"BBS2",FALSE,"ENSG00000125124"
"BCAS3",FALSE,"ENSG00000141376"
"BOP1",TRUE,"ENSG00000261236"
"BOP1",TRUE,"ENSG00000285301"
"BYSL",TRUE,"ENSG00000112578"
"CCNG2",FALSE,"ENSG00000138764"
"CYP1B1",TRUE,"ENSG00000138061"
"DBP",FALSE,"ENSG00000105516"
"DDX21",TRUE,"ENSG00000165732"
"DHCR24",FALSE,"ENSG00000116133"
"DNTTIP2",TRUE,"ENSG00000067334"
"DPH2",TRUE,"ENSG00000132768"
"EIF5A2",TRUE,"ENSG00000163577"
"FDFT1",FALSE,"ENSG00000079459"
"FOSL1",TRUE,"ENSG00000175592"
"FOXC1",TRUE,"ENSG00000054598"
"FZD7",FALSE,"ENSG00000155760"
"GDPD1",FALSE,"ENSG00000153982"
"GOLPH3L",FALSE,"ENSG00000143457"
"GPR137B",FALSE,"ENSG00000077585"
"GTPBP4",FALSE,"ENSG00000107937"
"HSD17B7P2",FALSE,"ENSG00000288374"
"HSD17B7P2",FALSE,"ENSG00000099251"
"JUP",FALSE,"ENSG00000173801"
"KRT19",FALSE,"ENSG00000171345"
"LIPH",TRUE,"ENSG00000163898"
"LMBRD1",FALSE,"ENSG00000168216"
"LTV1",FALSE,"ENSG00000135521"
"MAML3",FALSE,"ENSG00000196782"
"MANSC1",FALSE,"ENSG00000281818"
"MANSC1",FALSE,"ENSG00000111261"
"MAP3K13",FALSE,"ENSG00000073803"
"MAP3K12",FALSE,"ENSG00000139625"
"MARS2",TRUE,"ENSG00000247626"
"MEGF9",FALSE,"ENSG00000106780"
"MKNK2",FALSE,"ENSG00000099875"
"MLLT3",FALSE,"ENSG00000171843"
"MRTO4",TRUE,"ENSG00000053372"
"MST1R",FALSE,"ENSG00000164078"
"NIP7",TRUE,"ENSG00000132603"
"OCLN",FALSE,"ENSG00000197822"
"OCLN",FALSE,"ENSG00000273814"
"ORAI3",FALSE,"ENSG00000175938"
"PBX1",FALSE,"ENSG00000185630"
"PNO1",TRUE,"ENSG00000115946"
"PNPT1",TRUE,"ENSG00000138035"
"POP1",TRUE,"ENSG00000104356"
"PPAT",TRUE,"ENSG00000128059"
"PRICKLE2",TRUE,"ENSG00000163637"
"PWP2",TRUE,"ENSG00000241945"
"RDH11",FALSE,"ENSG00000072042"
"REPS2",FALSE,"ENSG00000169891"
"RHOT1",FALSE,"ENSG00000126858"
"RIOK1",TRUE,"ENSG00000124784"
"RRP1",TRUE,"ENSG00000160214"
"SERPINB2",TRUE,"ENSG00000197632"
"SLC1A1",TRUE,"ENSG00000106688"
"SLC25A33",TRUE,"ENSG00000171612"
"SLC5A6",TRUE,"ENSG00000138074"
"SLC7A5",TRUE,"ENSG00000103257"
"SNAPC1",TRUE,"ENSG00000023608"
"SORL1",FALSE,"ENSG00000137642"
"SPDEF",FALSE,"ENSG00000124664"
"SSBP2",FALSE,"ENSG00000145687"
"ST6GALNAC2",FALSE,"ENSG00000070731"
"TAF4B",TRUE,"ENSG00000141384"
"TCEA3",FALSE,"ENSG00000282941"
"TCEA3",FALSE,"ENSG00000204219"
"TCEAL8",FALSE,"ENSG00000180964"
"TEAD4",TRUE,"ENSG00000197905"
"TIMM8A",TRUE,"ENSG00000126953"
"TINAGL1",TRUE,"ENSG00000142910"
"TMEM87B",FALSE,"ENSG00000153214"
"TOMM40",TRUE,"ENSG00000130204"
"TOX",TRUE,"ENSG00000198846"
"TP53INP1",FALSE,"ENSG00000164938"
"TRERF1",FALSE,"ENSG00000124496"
"WDR3",TRUE,"ENSG00000065183"
"WDR4",TRUE,"ENSG00000160193"
"YRDC",TRUE,"ENSG00000196449"
